id_participant,paragraph,model,preference
118558077959,P1,Model_A,0
118558077959,P1,Model_B,1
118558077959,P2,Model_A,0
118558077959,P2,Model_B,1
118558077959,P3,Model_A,1
118558077959,P3,Model_B,0
118558077959,P4,Model_A,1
118558077959,P4,Model_B,0
118558077959,P5,Model_A,1
118558077959,P5,Model_B,0
118558077959,P6,Model_A,1
118558077959,P6,Model_B,0
118558077959,P7,Model_A,1
118558077959,P7,Model_B,0
118558077959,P9,Model_A,1
118558077959,P9,Model_B,0
118558077959,P10,Model_A,1
118558077959,P10,Model_B,0
118558077959,P11,Model_A,1
118558077959,P11,Model_B,0
118558077959,P12,Model_A,1
118558077959,P12,Model_B,0
118558077959,P13,Model_A,1
118558077959,P13,Model_B,0
118558077959,P14,Model_A,1
118558077959,P14,Model_B,0
118555511803,P1,Model_A,1
118555511803,P1,Model_B,0
118555511803,P2,Model_A,1
118555511803,P2,Model_B,0
118555511803,P3,Model_A,1
118555511803,P3,Model_B,0
118555511803,P4,Model_A,1
118555511803,P4,Model_B,0
118555511803,P5,Model_A,1
118555511803,P5,Model_B,0
118555511803,P6,Model_A,0
118555511803,P6,Model_B,1
118555511803,P7,Model_A,1
118555511803,P7,Model_B,0
118555511803,P8,Model_A,1
118555511803,P8,Model_B,0
118555511803,P9,Model_A,0
118555511803,P9,Model_B,1
118555511803,P10,Model_A,0
118555511803,P10,Model_B,1
118555511803,P11,Model_A,1
118555511803,P11,Model_B,0
118555511803,P12,Model_A,1
118555511803,P12,Model_B,0
118555511803,P13,Model_A,0
118555511803,P13,Model_B,1
118555511803,P14,Model_A,1
118555511803,P14,Model_B,0
118555511803,P15,Model_A,1
118555511803,P15,Model_B,0
118555511803,P16,Model_A,1
118555511803,P16,Model_B,0
118555511803,P17,Model_A,1
118555511803,P17,Model_B,0
118555511803,P18,Model_A,1
118555511803,P18,Model_B,0
118555511803,P19,Model_A,0
118555511803,P19,Model_B,1
118555511803,P20,Model_A,1
118555511803,P20,Model_B,0
118555511803,P21,Model_A,1
118555511803,P21,Model_B,0
118555511803,P22,Model_A,1
118555511803,P22,Model_B,0
118555511803,P23,Model_A,0
118555511803,P23,Model_B,1
118555511803,P24,Model_A,1
118555511803,P24,Model_B,0
118555511803,P25,Model_A,0
118555511803,P25,Model_B,1
118555511803,P26,Model_A,1
118555511803,P26,Model_B,0
118555511803,P27,Model_A,0
118555511803,P27,Model_B,1
118555511803,P28,Model_A,1
118555511803,P28,Model_B,0
118555511803,P29,Model_A,0
118555511803,P29,Model_B,1
118555511803,P30,Model_A,0
118555511803,P30,Model_B,1
118556229530,P1,Model_A,0
118556229530,P1,Model_B,1
118556229530,P2,Model_A,0
118556229530,P2,Model_B,1
118556082226,P1,Model_A,1
118556082226,P1,Model_B,0
118555691995,P1,Model_A,0
118555691995,P1,Model_B,1
118555691995,P2,Model_A,1
118555691995,P2,Model_B,0
